Chromosome	Start	End	Value	Array
chr1	15253	15278	-0.05000932514667511	0
chr1	48168	48193	-0.5084637403488159	0
chr1	60826	60851	-0.23080843687057495	0
chr1	61722	61747	-0.319414347410202	0
chr1	61795	61820	-0.21140044927597046	0
chr1	61810	61835	-0.42326125502586365	0
chr1	62139	62164	-0.6776382327079773	0
chr1	62907	62932	-0.8676602840423584	0
chr1	62908	62932	-0.5401492118835449	0
chr1	62924	62949	-0.49958375096321106	0
chr1	62925	62949	-0.7074215412139893	0
chr1	72691	72716	-0.6060839891433716	0
chr1	72692	72716	-0.722052812576294	0
chr1	72763	72788	-0.19815652072429657	0
chr1	72764	72788	-0.19154462218284607	0
chr1	77551	77576	-0.3415934443473816	0
chr1	77565	77590	0.06258982419967651	0
chr1	79800	79825	-0.30086788535118103	0
chr1	79835	79860	-0.4763474464416504	0
chr1	82157	82182	-0.15533441305160522	0
chr1	82302	82327	0.16908441483974457	0
chr1	82303	82327	0.4921005368232727	0
chr1	82637	82662	-0.248984232544899	0
chr1	82698	82723	0.30043599009513855	0
chr1	85923	85948	-0.35045257210731506	0
chr1	85924	85948	-0.4387513995170593	0
chr1	85985	86010	-0.24463707208633423	0
chr1	85986	86010	-0.10193187743425369	0
chr1	86311	86336	-0.21034227311611176	0
chr1	86328	86353	-0.3144247829914093	0
chr1	89759	89784	-0.08007113635540009	0
chr1	89908	89933	-0.16644169390201569	0
chr1	98575	98600	0.2117326259613037	0
chr1	98576	98600	-0.2907915711402893	0
chr2	16728746	16728771	-0.1832166165113449	0
chr2	16728947	16728972	-0.15955482423305511	0
chr2	16729410	16729410	-0.36589348316192627	0
chr2	16729533	16729558	-0.21840064227581024	0
chr2	16729834	16729859	-0.04187588393688202	0
chr2	16731857	16731882	-0.4473581910133362	0
chr2	16731955	16731980	0.08077480643987656	0
chr2	16732275	16732275	-0.3197634220123291	0
chr2	16732391	16732391	-0.39441806077957153	0
chr2	16733928	16733928	-0.3020975887775421	0
chr2	16734284	16734284	-0.3348041772842407	0
chr2	16734828	16734853	-0.44217386841773987	0
chr2	16734999	16734999	-0.09073768556118011	0
chr2	16735364	16735389	-0.10449446737766266	0
chr2	16735365	16735389	-0.2798691391944885	0
chr2	16735432	16735432	0.33737730979919434	0
chr2	16736636	16736661	0.24550731480121613	0
chr2	16736686	16736711	0.1941576451063156	0
chr2	16738452	16738477	0.006924835499376059	0
chr2	16738566	16738591	0.00207950989715755	0
chr2	16738729	16738754	-0.025983735918998718	0
chr2	16738778	16738803	0.3976934254169464	0
chr2	16738867	16738867	0.14100949466228485	0
chr2	16739155	16739155	0.249445840716362	0
chr2	16740367	16740367	-0.025378307327628136	0
chr2	16740567	16740592	-0.030255895107984543	0
chr2	16740688	16740713	-0.5831950902938843	0
chr2	16740814	16740839	-0.1220809817314148	0
chr2	16742736	16742761	-0.2560478150844574	0
chr2	16743520	16743545	-0.29899856448173523	0
chr2	16744902	16744902	0.13077746331691742	0
chr3	94816619	94816644	0.12976056337356567	0
chr3	94816647	94816672	-0.22124162316322327	0
chr3	94820235	94820235	-0.003865253645926714	0
chr3	94820411	94820411	-0.7728949189186096	0
chr3	94820920	94820945	0.029137160629034042	0
chr3	94820926	94820951	0.19288931787014008	0
chr3	94825997	94826022	-0.09765616059303284	0
chr3	94826044	94826069	0.3280061185359955	0
chr3	94826141	94826141	0.10407528281211853	0
chr3	94832194	94832219	-0.15569090843200684	0
chr3	94832290	94832290	-0.12177256494760513	0
chr3	94832369	94832394	0.3456198275089264	0
chr3	94832474	94832474	0.16732999682426453	0
chr3	94832670	94832670	0.0271604023873806	0
chr3	94833030	94833030	-0.09973692148923874	0
chr3	94834207	94834207	0.11103934049606323	0
chr3	94835162	94835162	-0.14357298612594604	0
chr3	94836467	94836467	-0.8329874277114868	0
chr3	94840003	94840028	0.24872545897960663	0
chr3	94840096	94840121	-0.27189528942108154	0
chr3	94840443	94840443	-0.15110108256340027	0
chr3	94840545	94840545	0.45635634660720825	0
chr3	94844952	94844952	0.2360851764678955	0
chr3	94847031	94847031	0.16343024373054504	0
chr3	94847068	94847068	0.08700273931026459	0
chr3	94847215	94847240	0.37408944964408875	0
chr3	94847288	94847313	0.18607845902442932	0
chr3	94853127	94853152	-0.4172360301017761	0
chr3	94853264	94853289	-0.22725015878677368	0
chr3	94853923	94853948	0.18827742338180542	0
chr3	94853955	94853980	0.10372962057590485	0
chr3	94857645	94857645	-0.03752470389008522	0
chr3	94863089	94863114	0.0708405002951622	0
chr3	94863242	94863267	-0.681064248085022	0
chr3	94864775	94864775	0.20890191197395325	0
chr3	94865190	94865190	0.4029684066772461	0
chr3	94865983	94866008	0.4450698792934418	0
chr3	94866326	94866351	-0.4023560881614685	0
chr3	94870789	94870789	-0.06994397193193436	0
chr4	170084833	170084858	0.1429234743118286	0
chr4	170085486	170085486	-0.4399912357330322	0
chr4	170085799	170085799	0.320899099111557	0
chr4	170085864	170085864	-0.01856791041791439	0
chr4	170086006	170086031	0.0812590941786766	0
chr4	170086021	170086046	0.09403282403945923	0
chr4	170086146	170086146	-0.055941637605428696	0
